GENERIC NAME,DrugBank,KEGG,PubChem,Drugs.com
Sildenafil,https://www.drugbank.ca/drugs/DB00203,http://www.genome.jp/dbget-bin/www_bget?dr:D02229,https://pubchem.ncbi.nlm.nih.gov/substance/46508371#section=Top,http://www.drugs.com/cdi/sildenafil.html
Dofetilide,https://www.drugbank.ca/drugs/DB00204,http://www.genome.jp/dbget-bin/www_bget?dr:D00647,https://pubchem.ncbi.nlm.nih.gov/substance/46509127#section=Top,http://www.drugs.com/cdi/dofetilide.html
Pyrimethamine,https://www.drugbank.ca/drugs/DB00205,http://www.genome.jp/dbget-bin/www_bget?dr:D00488,https://pubchem.ncbi.nlm.nih.gov/substance/46505987#section=Top,http://www.drugs.com/cdi/pyrimethamine.html
Reserpine,https://www.drugbank.ca/drugs/DB00206,http://www.genome.jp/dbget-bin/www_bget?dr:D00197,https://pubchem.ncbi.nlm.nih.gov/substance/46505863#section=Top,http://www.drugs.com/cdi/reserpine.html
Azithromycin,https://www.drugbank.ca/drugs/DB00207,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507743#section=Top,http://www.drugs.com/cdi/azithromycin-drops.html
Ticlopidine,https://www.drugbank.ca/drugs/DB00208,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46504438#section=Top,http://www.drugs.com/cdi/ticlopidine.html
Trospium,https://www.drugbank.ca/drugs/DB00209,http://www.genome.jp/dbget-bin/www_bget?dr:D01103,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/trospium.html
Adapalene,https://www.drugbank.ca/drugs/DB00210,http://www.genome.jp/dbget-bin/www_bget?dr:D01112,https://pubchem.ncbi.nlm.nih.gov/substance/46505019#section=Top,http://www.drugs.com/cdi/adapalene-cream.html
Midodrine,https://www.drugbank.ca/drugs/DB00211,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507373#section=Top,http://www.drugs.com/cdi/midodrine.html
Remikiren,https://www.drugbank.ca/drugs/DB00212,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Pantoprazole,https://www.drugbank.ca/drugs/DB00213,http://www.genome.jp/dbget-bin/www_bget?dr:D05353,https://pubchem.ncbi.nlm.nih.gov/substance/46504622#section=Top,http://www.drugs.com/cdi/pantoprazole.html
Torasemide,https://www.drugbank.ca/drugs/DB00214,http://www.genome.jp/dbget-bin/www_bget?dr:D00382,https://pubchem.ncbi.nlm.nih.gov/substance/46504760#section=Top,
Citalopram,https://www.drugbank.ca/drugs/DB00215,http://www.genome.jp/dbget-bin/www_bget?dr:D07704,https://pubchem.ncbi.nlm.nih.gov/substance/46508746#section=Top,http://www.drugs.com/citalopram.html
Eletriptan,https://www.drugbank.ca/drugs/DB00216,http://www.genome.jp/dbget-bin/www_bget?dr:D01973,https://pubchem.ncbi.nlm.nih.gov/substance/46506380#section=Top,http://www.drugs.com/cdi/eletriptan.html
Bethanidine,https://www.drugbank.ca/drugs/DB00217,http://www.genome.jp/dbget-bin/www_bget?dr:D01603,https://pubchem.ncbi.nlm.nih.gov/substance/46507605#section=Top,
Moxifloxacin,https://www.drugbank.ca/drugs/DB00218,http://www.genome.jp/dbget-bin/www_bget?dr:D08237,https://pubchem.ncbi.nlm.nih.gov/substance/46508509#section=Top,http://www.drugs.com/cdi/moxifloxacin-drops.html
Oxyphenonium,https://www.drugbank.ca/drugs/DB00219,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508840#section=Top,
Nelfinavir,https://www.drugbank.ca/drugs/DB00220,http://www.genome.jp/dbget-bin/www_bget?dr:D08259,https://pubchem.ncbi.nlm.nih.gov/substance/46507719#section=Top,http://www.drugs.com/cdi/nelfinavir.html
Isoetarine,https://www.drugbank.ca/drugs/DB00221,http://www.genome.jp/dbget-bin/www_bget?dr:D04625,https://pubchem.ncbi.nlm.nih.gov/substance/46505384#section=Top,http://www.drugs.com/mtm/isoetharine-inhalation.html
Glimepiride,https://www.drugbank.ca/drugs/DB00222,http://www.genome.jp/dbget-bin/www_bget?dr:D00593,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/glimepiride.html
Diflorasone,https://www.drugbank.ca/drugs/DB00223,http://www.genome.jp/dbget-bin/www_bget?dr:D01327,https://pubchem.ncbi.nlm.nih.gov/substance/46504519#section=Top,http://www.drugs.com/cdi/diflorasone-diacetate-cream.html
Indinavir,https://www.drugbank.ca/drugs/DB00224,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/indinavir.html
Guanadrel,https://www.drugbank.ca/drugs/DB00226,http://www.genome.jp/dbget-bin/www_bget?dr:D00607,https://pubchem.ncbi.nlm.nih.gov/substance/46506457#section=Top,http://www.drugs.com/mtm/guanadrel.html
Lovastatin,https://www.drugbank.ca/drugs/DB00227,http://www.genome.jp/dbget-bin/www_bget?dr:D00359,https://pubchem.ncbi.nlm.nih.gov/substance/46508223#section=Top,http://www.drugs.com/cdi/lovastatin.html
Enflurane,https://www.drugbank.ca/drugs/DB00228,http://www.genome.jp/dbget-bin/www_bget?dr:D00543,https://pubchem.ncbi.nlm.nih.gov/substance/46505314#section=Top,
Cefotiam,https://www.drugbank.ca/drugs/DB00229,http://www.genome.jp/dbget-bin/www_bget?dr:D01819,https://pubchem.ncbi.nlm.nih.gov/substance/46506679#section=Top,
Pregabalin,https://www.drugbank.ca/drugs/DB00230,http://www.genome.jp/dbget-bin/www_bget?dr:D02716,https://pubchem.ncbi.nlm.nih.gov/substance/46504934#section=Top,http://www.drugs.com/cdi/pregabalin.html
Temazepam,https://www.drugbank.ca/drugs/DB00231,http://www.genome.jp/dbget-bin/www_bget?dr:D00370,https://pubchem.ncbi.nlm.nih.gov/substance/46506604#section=Top,http://www.drugs.com/temazepam.html
Methyclothiazide,https://www.drugbank.ca/drugs/DB00232,http://www.genome.jp/dbget-bin/www_bget?dr:D00656,https://pubchem.ncbi.nlm.nih.gov/substance/46509197#section=Top,http://www.drugs.com/cdi/methyclothiazide.html
Aminosalicylic Acid,https://www.drugbank.ca/drugs/DB00233,http://www.genome.jp/dbget-bin/www_bget?dr:D00162,https://pubchem.ncbi.nlm.nih.gov/substance/46505572#section=Top,http://www.drugs.com/cdi/aminosalicylic-acid-controlled-release-granules-packet.html
Reboxetine,https://www.drugbank.ca/drugs/DB00234,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Milrinone,https://www.drugbank.ca/drugs/DB00235,http://www.genome.jp/dbget-bin/www_bget?dr:D00417,https://pubchem.ncbi.nlm.nih.gov/substance/46507838#section=Top,http://www.drugs.com/cdi/milrinone.html
Pipobroman,https://www.drugbank.ca/drugs/DB00236,http://www.genome.jp/dbget-bin/www_bget?dr:D00467,https://pubchem.ncbi.nlm.nih.gov/substance/46506548#section=Top,
Butabarbital,https://www.drugbank.ca/drugs/DB00237,http://www.genome.jp/dbget-bin/www_bget?dr:D03180,https://pubchem.ncbi.nlm.nih.gov/substance/46505051#section=Top,http://www.drugs.com/cdi/butabarbital.html
Nevirapine,https://www.drugbank.ca/drugs/DB00238,http://www.genome.jp/dbget-bin/www_bget?dr:D00435,https://pubchem.ncbi.nlm.nih.gov/substance/46506789#section=Top,http://www.drugs.com/cdi/nevirapine.html
Oxiconazole,https://www.drugbank.ca/drugs/DB00239,http://www.genome.jp/dbget-bin/www_bget?dr:D08313,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/oxiconazole-cream.html
Alclometasone,https://www.drugbank.ca/drugs/DB00240,http://www.genome.jp/dbget-bin/www_bget?dr:D01820,https://pubchem.ncbi.nlm.nih.gov/substance/46508296#section=Top,http://www.drugs.com/cdi/alclometasone-cream.html
Butalbital,https://www.drugbank.ca/drugs/DB00241,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505876#section=Top,
Cladribine,https://www.drugbank.ca/drugs/DB00242,http://www.genome.jp/dbget-bin/www_bget?dr:D01370,https://pubchem.ncbi.nlm.nih.gov/substance/46504588#section=Top,http://www.drugs.com/cdi/cladribine.html
Ranolazine,https://www.drugbank.ca/drugs/DB00243,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505145#section=Top,http://www.drugs.com/cdi/ranolazine.html
Mesalazine,https://www.drugbank.ca/drugs/DB00244,http://www.genome.jp/dbget-bin/www_bget?dr:D00377,https://pubchem.ncbi.nlm.nih.gov/substance/46509142#section=Top,
Benzatropine,https://www.drugbank.ca/drugs/DB00245,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505349#section=Top,http://www.drugs.com/cdi/benztropine.html
Ziprasidone,https://www.drugbank.ca/drugs/DB00246,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/ziprasidone.html
Methysergide,https://www.drugbank.ca/drugs/DB00247,http://www.genome.jp/dbget-bin/www_bget?dr:D02357,https://pubchem.ncbi.nlm.nih.gov/substance/46506117#section=Top,
Cabergoline,https://www.drugbank.ca/drugs/DB00248,http://www.genome.jp/dbget-bin/www_bget?dr:D00987,https://pubchem.ncbi.nlm.nih.gov/substance/46508571#section=Top,http://www.drugs.com/cdi/cabergoline.html
Idoxuridine,https://www.drugbank.ca/drugs/DB00249,http://www.genome.jp/dbget-bin/www_bget?dr:D00342,https://pubchem.ncbi.nlm.nih.gov/substance/46507573#section=Top,http://www.drugs.com/mtm/idoxuridine-ophthalmic.html
Dapsone,https://www.drugbank.ca/drugs/DB00250,http://www.genome.jp/dbget-bin/www_bget?dr:D00592,https://pubchem.ncbi.nlm.nih.gov/substance/46505300#section=Top,http://www.drugs.com/cdi/dapsone.html
Terconazole,https://www.drugbank.ca/drugs/DB00251,http://www.genome.jp/dbget-bin/www_bget?dr:D00888,https://pubchem.ncbi.nlm.nih.gov/substance/46505257#section=Top,http://www.drugs.com/cdi/terconazole-cream.html
Phenytoin,https://www.drugbank.ca/drugs/DB00252,http://www.genome.jp/dbget-bin/www_bget?dr:D00512,https://pubchem.ncbi.nlm.nih.gov/substance/46508847#section=Top,http://www.drugs.com/cdi/phenytoin.html
Medrysone,https://www.drugbank.ca/drugs/DB00253,http://www.genome.jp/dbget-bin/www_bget?dr:D02289,https://pubchem.ncbi.nlm.nih.gov/substance/46506584#section=Top,http://www.drugs.com/mtm/medrysone-ophthalmic.html
