,ANWABDrug,BGUMIDrug,CKPFCDrug,DJLEADrug,EAYPPDrug,FEHHUDrug,GUTJODrug,HMGWJDrug,IWZQDDrug,JXJYQDrug,KVOXNDrug,LZRORDrug,MPAIXDrug,NLVSVDrug,OQQZTDrug,PCFDZDrug,QIIVEDrug,RTBKLDrug,SDSUKDrug,TYXLYDrug,UHDRHDrug,VSKBFDrug,WONNSDrug,XFCGMDrug,YBECGDrug,ZRMTWDrug
KVOXNDrug,0.119910835,0.868521733,0.136248807,0.86876744,0.304671855,0.393270471,0.283647023,0.668104921,0.994171174,0.655147721,1,0.09043558,0.290948445,0.751032852,0.042498589,0.353464178,0.340916149,0.117230378,0.316915886,0.961297291,0.129609004,0.764908007,0.132223058,0.182168161,0.486909852,0.808825354
LZRORDrug,0.351404516,0.092195994,0.161869454,0.831553707,0.316447446,0.900509814,0.579153371,0.498418183,0.25092903,0.666464747,0.669340258,1,0.868119239,0.650931007,0.58120061,0.226081764,0.409469516,0.409426946,0.045056907,0.490063682,0.676516272,0.326732923,0.13887896,0.527118658,0.513984095,0.180021607
MPAIXDrug,0.090227462,0.395113758,0.247528221,0.680142,0.637010083,0.131731991,0.986060726,0.57130094,0.71211247,0.911283998,0.215546302,0.298744917,1,0.356097275,0.786577594,0.492615443,0.887784084,0.638465295,0.685432275,0.664174061,0.225076285,0.256568752,0.408364815,0.293171237,0.970507866,0.307292167
NLVSVDrug,0.677611287,0.353001323,0.525611764,0.883759242,0.22450453,0.595391904,0.273519709,0.023009225,0.52952179,0.477411351,0.492489809,0.121822992,0.969343087,1,0.283230805,0.242044091,0.38125542,0.982243909,0.899728137,0.605348383,0.384350314,0.647413645,0.06709979,0.076737121,0.364193344,0.702107387
OQQZTDrug,0.344689192,0.935901205,0.975618273,0.25343344,0.035710251,0.507872075,0.531201211,0.462304089,0.158478687,0.368285762,0.075311524,0.912004261,0.342865694,0.909726993,1,0.079941973,0.285182401,0.835134591,0.626721634,0.835007917,0.935178481,0.779850576,0.627507449,0.179332132,0.830558896,0.6421227
PCFDZDrug,0.543394203,0.078808685,0.179273021,0.722286085,0.335201394,0.541264064,0.778288906,0.346984339,0.026587926,0.716841168,0.690212403,0.639991928,0.488772149,0.912415771,0.614377895,1,0.549471311,0.483342598,0.380079239,0.778323101,0.465208735,0.272094358,0.312092615,0.037322558,0.552549661,0.59403906
QIIVEDrug,0.099472578,0.25560368,0.605525261,0.354174328,0.218064994,0.965454412,0.976424181,0.859804077,0.887792486,0.039305216,0.788212181,0.065274389,0.591259827,0.801805752,0.149719314,0.364205958,1,0.302699604,0.684220133,0.249546926,0.11760172,0.848820964,0.605567418,0.842117273,0.325517057,0.891530033
RTBKLDrug,0.932431545,0.175330839,0.661743896,0.323146794,0.569617316,0.191153301,0.058185306,0.273320038,0.814836629,0.353804447,0.872613815,0.23794048,0.28453349,0.872413992,0.056711949,0.801465381,0.306785746,1,0.538158968,0.949424663,0.81976461,0.810458542,0.315870809,0.583352937,0.642429657,0.895513109
SDSUKDrug,0.421638485,0.054316994,0.034682324,0.683072151,0.425780895,0.042601336,0.35708011,0.019574747,0.396756418,0.134936103,0.068270744,0.949269792,0.105669301,0.480995782,0.328123342,0.573244391,0.059049642,0.726878385,1,0.570306397,0.769060383,0.464241702,0.871741394,0.55210317,0.636836175,0.559144972
TYXLYDrug,0.064154972,0.611083591,0.307934117,0.864310888,0.12568813,0.996452454,0.372880266,0.590810878,0.51557196,0.181100569,0.877313575,0.325311682,0.922862765,0.482696709,0.341665064,0.284358553,0.990273142,0.173954317,0.127707843,1,0.023834719,0.467920261,0.323698897,0.992720827,0.021009529,0.006679263
UHDRHDrug,0.911876506,0.008820894,0.170391476,0.839253589,0.864798405,0.03599898,0.391849785,0.941674485,0.842758611,0.410686523,0.267767415,0.398096961,0.358035657,0.338207159,0.25556109,0.671414941,0.516776272,0.515395823,0.253802982,0.831650242,1,0.59772382,0.811783153,0.380217964,0.970187596,0.875848876
VSKBFDrug,0.587298475,0.074669225,0.020553453,0.262996035,0.624516314,0.777325982,0.663744035,0.904531605,0.953383229,0.579107123,0.975613322,0.166289401,0.936300535,0.669949678,0.712828463,0.72906393,0.289538222,0.417471436,0.105841187,0.782971051,0.76507075,1,0.290546609,0.600501766,0.461716067,0.082533687
WONNSDrug,0.332888632,0.518911232,0.107106941,0.123437455,0.350731675,0.53946094,0.898303422,0.024992334,0.324829339,0.093751932,0.751765259,0.876810178,0.956107812,0.262504774,0.552186271,0.155993979,0.357958353,0.330785487,0.046196296,0.104735258,0.715804481,0.231991469,1,0.982852976,0.014874365,0.778098908
XFCGMDrug,0.980726752,0.181781251,0.758167364,0.396974068,0.411524197,0.433065729,0.731267561,0.671436766,0.667536171,0.986208249,0.925981116,0.771174939,0.437205592,0.149214567,0.926182213,0.300014131,0.974764201,0.66877789,0.494459471,0.159603841,0.46609389,0.295610569,0.661114705,1,0.661711093,0.057678902
YBECGDrug,0.478348062,0.068994427,0.420991172,0.961536004,0.116715162,0.435055463,0.896165877,0.936529307,0.574253168,0.229684521,0.624132431,0.83216338,0.776828038,0.726189458,0.470967942,0.352061027,0.915026085,0.539275937,0.427227343,0.992822686,0.408407131,0.312871505,0.476171796,0.368215411,1,0.392281697
ZRMTWDrug,0.814221348,0.09937045,0.345495146,0.374919499,0.363307532,0.181162595,0.720628626,0.473738903,0.909120491,0.386235452,0.604263175,0.188816121,0.232063484,0.029289,0.429127826,0.026053464,0.88549934,0.123813185,0.554088737,0.507329831,0.900560867,0.17701934,0.501091955,0.578900244,0.783034123,1
